week,individualCount
1,124.66666666666667
2,119.13333333333334
3,92.93617021276596
4,69.92727272727272
5,59.69642857142857
6,39.70909090909091
7,53.63157894736842
8,53.392857142857146
9,39.280701754385966
10,31.054545454545455
11,32.07272727272727
12,16.714285714285715
13,25.607142857142858
14,32.716981132075475
15,33.163636363636364
16,26.98181818181818
17,25.98181818181818
18,39.127272727272725
19,37.94642857142857
20,37.68518518518518
21,32.6
22,44.660714285714285
23,30.107142857142858
24,28.678571428571427
25,33.07142857142857
26,42.82142857142857
27,58.07272727272727
28,62.69642857142857
29,51.0
30,149.4909090909091
31,178.46428571428572
32,165.54728835978835
33,152.630291005291
34,139.71329365079364
35,126.79629629629629
36,165.6909090909091
37,124.89285714285714
38,128.25454545454545
39,150.66071428571428
40,122.52727272727273
41,77.10714285714286
42,65.66666666666667
43,66.10843373493977
44,48.056603773584904
45,74.25454545454545
46,81.72881355932203
47,54.785714285714285
48,70.98387096774194
49,61.22222222222222
50,64.91228070175438
51,65.26229508196721
52,54.767857142857146
